School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Received,B_W_G_Received,Rice_Excess,B_W_G_Excess,Rice_Remaining,B_W_G_Remaining,B_W_G_Temperatures,Rice_Temp,Missed_Food,Next_Day_Projection,Food_Arrival_Time,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By,Week,Weekday,Missed_Projection
Njunu Primary,14-01-25,Turmeric Rice and Greengrams,280,273,273,0,0,2,3,2,1,71,85,10,0,2,0,60,69,0,280,12:01:00,12:20:00,13:20:00,Projected 280 because we expect new registrations tomorrow and those who have not reported back to school to do so,Food was sweet and delicious,I managed the queueing well alone,successful taps were 273 an increase of 2 taps from yesterday's 271 successful taps,3 failed taps a decrease of 2 taps from yesterday's 5 failed taps,Samuel Kago,Week2,Tuesday,7
Nyaga Primary,14-01-25,Turmeric Rice and Greengrams,520,536,536,0,0,3,12,2,3,131,157,10,0,0,0,65,60,0,550,11:00:00,12:30:00,13:40:00,"We are projecting 550, grade 7 are slowly being admitted and also hoping the number of failed taps to reduce",Food was okay,Queue management was orderly assisted by the teacher on duty,We had 536 actual meals served compared to 471 of yesterday. Grade 7 students are being admitted plus other students turned up,We had 12 failed taps compared to 15 of yesterday. Parents topped up.,Erick Murage,Week2,Tuesday,-16
Riamute Primary,14-01-25,Turmeric Rice and Greengrams,360,348,323,25,0,3,20,5,1,91,109,13.5,0,8,0,65,70,0,360,9:47:00,12:30:00,13:25:00,We expect the number to increase as we move on and also considering the number of failed taps.,*The food was delicious and hot.,Queues were orderly and organised with the help of TOD,*The number of actual taps was 348 a lower number than previous day which was 349.,We had 20 failed taps today a higher number than previous day which was 11 as the parent didn't top up their account,,Week2,Tuesday,12
Thuita Primary,14-01-25,Turmeric Rice and Greengrams,260,267,267,0,0,2,1,2,1,66,79,8,0,0,0,71,69,0,270,11:16:00,12:15:00,13:25:00,Projecting this number because new pupils are still joining the school and hope those with failed taps will top up.,The food was hot and delicious.,I properly managed the queue without assistance,The number of successful taps increased from 249 to 267 . This is because most parents topped up in good time and the absentees reported back to school.,The number of failed taps decreased from 4 to 1 . Only one parent forgot to top up.,Tabitha Gachi,Week2,Tuesday,-7
Ak Magugu Primary,15-01-25,Masala Rice and Western,470,460,424,36,0,3,18,2,2,118,142,0,0,0,0,62,69,0,470,9:51:00,12:20:00,1:20:00,normal day expected,The food was delicious.,"The queues were orderly, especially with the help of the teacher on duty.",The number of actual meals served was 460 same number as of the previous day,The number of failed taps  were 18. Respective parents had not topped up their account .,Paul Gichanga Njoroge,Week2,Wednesday,10
Gataka Primary,15-01-25,Masala Rice and Western,295,298,279,19,0,2,7,1,0,74,89,10,0,0,0,64,70,0,300,10:43:00,12:35:00,1:33:00,,The food was delicious.,The kids were orderly without the assistance of a teacher.,The total number of actual meals  rose from 288 to 298. We attribute this rise to more parents paying for their kids on time.,There number of failed taps decreased from 10 to 7. We reminded kids to request  their parents to top up their accounts on time.,Esther  Wanjiru  Kimani,Week2,Wednesday,-3
Gathaithi Primary,15-01-25,Masala Rice and Western,590,582,524,58,0,3,25,1,1,148,178,10,0,2,2,62.5,73.3,0,590,8:54:00,12:40:00,13:45:00,We encouraged kids with failed taps to remind their parents to top up.,The food was awesome.,Teachers on duty assisted with line management,The number of actual meals served was 582 an increase from 581. Some accounts were not topped up,Failed taps was 25 an increase from 13 as parents failed to top up on time.,Jane Wanjiru,Week2,Wednesday,8
Gathangari Primary,15-01-25,Masala Rice and Western,1080,438,438,0,0,3,3,4,0,110,131,10,0,0,0,59,77,0,1060,11:09:00,12:00:00,13:30:00,we projected 1060 because we expect a high turn out tomorrow.,The food was tasty,queue management was good with the help of the teacher on duty.,successful taps increased from 425 to 438. Grade 7 pupils are still reporting back.,failed taps increased from 0 to 3. Some parents did not remember to top up their accounts.,Faith and Mercy,Week2,Wednesday,642
Gathanjii Primary,15-01-25,Masala Rice and Western,370,347,319,28,0,2,22,1,6,91,109,0,0,8.5,10,60,71,0,360,10:13:00,12:05:00,14:00:00,,The Meal was delicious the children enjoyed the masala and the bananas.,line management  was well maintained by the Teacher on duty .,The actual meals served today was 347  compared to 330 on yesterday . Parents had not topped up accounts.,Failed taps today were 22 an increase from 13 yesterday. Parents had  topped up accounts .,Nelson Kageche .,Week2,Wednesday,23
Gathiruini Primary,15-01-25,Masala Rice and Western,285,277,277,0,0,2,9,0,0,72,95,0,0,2,2,60,65,0,285,9:30:00,12:30:00,1:30:00,,The food was delicious.,The queue was well organized with the help of the teachers on duty.,Actual meals today were 277 a decrease from 281 this is because parents didn't top up their accounts on time,failed taps today were 9   an increase from 5 this is because most parents didn't top up their accounts on time,Catherine wairimu,Week2,Wednesday,8
Gathugu Primary,15-01-25,Masala Rice and Western,290,295,295,0,0,2,5,1,0,73,88,8.5,0,0,0,54,55,0,295,9:58:00,12:30:00,13:30:00,,Food was hot,queue was orderly,"Successful taps increased from yesterdayâs 287,to today 295 because most pupils have reported to school",Failed taps were 5 just like yesterday parents forgot to top up,,Week2,Wednesday,-5
Gatina Primary,15-01-25,Masala Rice and Western,420,423,391,32,0,3,15,1,4,106,127,10,0,0,0,66,73,0,425,11:00:00,12:30:00,13:40:00,"We project 425 tomorrow because grade 7 continues to report to school , new students and  grade one students continues to be enrolled.","The meal was delicious,kids really enjoyed.",line management  was well conducted by teacher on duty.,The actual meals served today was 423 higher than 410 of yesterday. Some of the kids reported back to school and parents were able to top up the account on time .,Failed taps have decreased  from 19 to 15,DENNÄ°S KANG'ETHE,Week2,Wednesday,-3
Gatitu Primary,15-01-25,Masala Rice and Western,390,393,361,32,0,3,7,3,1,98,118,10,0,0,0,67,72,0,395,9:19:00,12:15:00,13:30:00,,The food was  hot and delicious.,I controlled the queue,There were 393 Successful taps an increase from previous taps 384,There was 7 failed tap a decrease from  previous taps 10. parents did the top up,David,Week2,Wednesday,-3
Giathieko Primary,15-01-25,Masala Rice and Western,185,193,193,0,0,2,3,2,0,47,56,0,0,0,0,62,76,0,195,12:30:00,12:40:00,13:20:00,,The food was delicious,Queues were transitioning well from class to class.,The number of successful taps increased from 183 to 193 as more kids are still reporting  back as well as new kids are registering into the program.,,George,Week2,Wednesday,-8
Githiga Primary,15-01-25,Masala Rice and Western,410,424,388,36,0,3,13,5,2,103,124,10,0,0,0,66,68,24,440,10:11:00,12:25:00,14:00:00,,The food was  hot and delicious.,I controlled the queue,There were 424 actual taps an increase from previous taps 394,There was 13 failed tap a decrease from  previous taps 14. parents did the top up,Susan,Week2,Wednesday,-14
Githima Primary,15-01-25,Masala Rice and Western,250,259,259,0,0,2,1,3,2,63,76,0,0,0,0,70,68,0,260,10:09:00,12:35:00,13:25:00,"I am projecting 260 students because I am registering more kids each day,and this being the second week of the term,I am hoping more kids will be reporting tomorrow.",The food was tasty and the kids enjoyed.,I was able to manage the queue with no difficulty since the kids were super organized today.,"Actual meals served are 259 ompared yesterday's actual meals served which were 242,which is an increase.More kids reported today.",We had 1  failed tap which is a decrease from yesterday's 6 failed taps.Parents topped up on time and as expected except from one who was unreachable.,Brenda wambui kamawe,Week2,Wednesday,-9
Githioro Primary,15-01-25,Masala Rice and Western,310,305,305,0,0,2,6,1,0,78,94,0,0,1,2,62,73,0,315,9:50:00,12:45:00,13:40:00,students are still reporting back and we expect students with failed taps to top up their accounts on time tomorrow.,food was delicious,queue was transitioning well from class to class with the help of TOD.,we had 305 successful taps an increase by 1  compared to yesterday which were 304 since students are still reporting back to school.,we had 6 failed taps a decrease by 4 compared to yesterday some parents remembered to top up their accounts on time.,Ndungu Chege,Week2,Wednesday,5
Githunguri Primary,15-01-25,Masala Rice and Western,465,468,425,43,0,3,15,0,3,102,121,10,0,0,0,66.1,71,0,465,10:30:00,12:45:00,13:30:00,,The food was  delicious. But the banana were not enough . 20% of learner did not get a share of a banana.,Queue management was well executed by teacher on duty.,The number of actual meals served was  468 a higher number compared to yesterday's actual meals that were 454.More kids came for meals because there were banana,The number of failed taps  was 15 a significant decrease  from yesterday's 28. I have been been reminding kids with 0 balance to remind their parents to top up.,Samy Migwi.,Week2,Wednesday,-3
Gitombo Primary,15-01-25,Masala Rice and Western,165,166,166,0,0,2,3,0,0,42,50,0,0,0,0,65,80,0,170,8:54:00,12:40:00,13:15:00,Projecting 170 hopefully tomorrow there shall be more learners attendance.,The food was flavoursome.,The queue was manageable since learners were self driven.,Actual meals served today was 166 a increase of 3 from 163 since some learners were absent.,Today there was 3 failed taps a decrease of 1 from 2 yesterday whose parents failed to top up their accounts on time.,Veronica Mwaura,Week2,Wednesday,-1
Ihiga Primary,15-01-25,Masala Rice and Western,185,182,164,18,0,2,2,0,0,57,56,10,0,0,0,67.3,71.2,0,185,9:35:00,12:40:00,13:15:00,,Food was Delicious.,Line management was Excellent.Students queued from lower classes to upper classes with assistance from teacher on duty.,Number of Actual meals served was  183 an increase from yesterday's number which was 180 Today's turn up was higher than previous days.Kids were excited for the bananas,Today's Failed taps was 2 an increase from yesterday's which was 0.Parents didn't top up.,Naomi Njenga.,Week2,Wednesday,3
Ikinu Primary,15-01-25,Masala Rice and Western,1080,1055,1000,55,0,5,55,4,3,271,326,0,40,3,5,68,70,0,1060,12:00:00,12:40:00,13:30:00,we projected 1060 because we expect a high turn out tomorrow.,,,,,,Week2,Wednesday,25
Kahunira Primary,15-01-25,Masala Rice and Western,770,775,697,78,0,4,15,0,3,194,232,0,0,0,0,58.3,68.8,0,780,11:48:00,12:40:00,1:40:00,,It was a very satisfying meal.,Queue management  was well executed by teacher on duty.,"The actual meals served today was 775,an increase from yesterday meals which was 752,this is attributed by high student turn up.","Failed taps today increased by 3, yesterday we had 12 failed taps while today we had 15 taps, respective parents didn't top up on time.",Mwangi Mary,Week2,Wednesday,-5
Kamondo Primary,15-01-25,Masala Rice and Western,355,364,343,21,0,3,10,1,1,90,107,22,18,7,5,67.2,68.7,0,360,9:28:00,12:50:00,13:55:00,,The food was tasty and arrived  early,kids arranged themselves  in their respective classes with the help of TOD,364 actual taps  an increase  from previous  day which was at 356 as grade grade 7 kids are gradually  reporting to school,,,Week2,Wednesday,-9
Kanjai Primary,15-01-25,Masala Rice and Western,500,471,447,24,0,3,29,1,1,126,151,15,0,0,0,62,70,0,490,10:18:00,12:40:00,13:38:00,,food was delicious,que was well managed.,The number of Actual meal serverd has reduced from 488 to 471 compared to yesterday.,The number of failed taps has increased from 23 to 29 compared to yesterday.,Peninah Njuguna,Week2,Wednesday,29
Kanyore Primary,15-01-25,Masala Rice and Western,715,723,723,0,0,3,22,1,0,180,215,10,0,0,0,64,62,0,730,11:28:00,12:30:00,13:28:00,,The food was delicious,Queue was well managed.,The number of successful taps  increased from 709 to 723 because some kids who were absent reported .,,Peter Matama Muiru,Week2,Wednesday,-8
Karia Primary,15-01-25,Masala Rice and Western,530,529,496,33,0,3,8,0,1,133,160,0,0,0,0,65,63,0,530,11:30:00,12:40:00,13:40:00,,"The food was delicious,  pupils enjoyed the bananas.",The queue management was smooth.,Actual meals served today Increased from yesterday's 515 to 529. Most pupils turned up with credited accounts.,Failed taps have increased  from 5 to 8. Parents did not top up. I've urged the pupils to remind the parent to top up.,Janet Gitau,Week2,Wednesday,1
Kiaibabu Primary,15-01-25,Masala Rice and Western,280,277,276,1,0,3,10,2,0,71,85,0,0,1,1,65,68,0,280,9:07:00,12:45:00,13:30:00,We are projecting this number expecting more students to come back to school and more parents to top up their accounts.,food was delicious,queuing was done with moderation  assisted by the TOD,actual meals served were 277 and increase of 4 from yesterday 273.this is due to a bigger number of students reporting today.,"we had 10 failed taps compared to 3 failed taps previous day, an increase of 7. Most parents did not pay on time.",John kimani,Week2,Wednesday,3
Kiairia Primary,15-01-25,Masala Rice and Western,210,208,189,19,0,2,4,0,0,53,64,0,0,0,0,55.5,69.1,0,210,11:16:00,12:40:00,13:20:00,,"The food was hot,delicious and on time.",Queue management was well organized by teacher in charge of the programme.,The number of actual meals served was  208 a lower number compared to yesterday's actual meals that were 209.,The number of failed taps  was 4 an increase compared to yesterdays failed taps that was1.parents had not topped up.,Lilian wangari.,Week2,Wednesday,2
Kiambururu Primary,15-01-25,Masala Rice and Western,310,299,269,29,0,3,4,2,0,78,94,10,0,4,4,63.3,73.3,0,305,11:46:00,12:30:00,13:15:00,,The food was savoury .,Queue management was well executed by the TSM,The number of actual meals served was 299 a higher number compared to yesterday's actual meals that were 298. Most accounts had been topped up.,The number of failed taps  was 4 a lower number compared to yesterday's failed taps that were 13.The parents had not topped up.,,Week2,Wednesday,11
Kiawaiguru Primary,15-01-25,Masala Rice and Western,230,220,220,0,0,2,0,1,1,58,70,0,0,2,3,65,70,0,225,9:10:00,12:40:00,13:15:00,We are projecting 225 as we expect students to attend in good numbers,The food was warm and spicy,queuing was done with moderation assisted by  prefects,"*Today's successful  taps was 220 compared to yesterday's    225, a decrease of 5 who didnt attend",Today we had 0 failed taps just like yesterday  as parents are topping up their accounts in good time,DAVID NDUNG'U KINYANJUI,Week2,Wednesday,10
Kiawairia Primary,15-01-25,Masala Rice and Western,140,139,139,0,0,2,1,3,0,37,44,0,65,0,0,65,68,0,145,9:25:00,12:10:00,13:10:00,We are projecting this number expecting more students to come back to school and more parents to top up their accounts.,food was delicious,queuing was done with moderation  assisted by the TOD,"Tapped successful 139 compared to successful 141 previous day, a decrease. More students were absent today hence the decrease in the number of successful taps.",we had 1 failed tap compared to 3 failed taps previous day. A parent who forgot to top up the account.,John Mugo,Week2,Wednesday,1
Kibichoi Primary,15-01-25,Masala Rice and Western,230,231,231,0,0,2,7,4,0,58,70,0,0,0,0,62,76,0,240,10:23:00,13:00:00,13:30:00,,The food was delicious,Queues were transitioning well from class to class.,The number of successful taps increased from 224 to 231 as more kids are still reporting  back as well as new kids are registering into the program.,,Beth Kabura,Week2,Wednesday,-1
Kigumo Primary,15-01-25,Masala Rice and Western,245,238,238,0,0,2,16,5,0,62,74,0,0,2,2,60,71,0,245,9:44:00,12:40:00,13:53:00,"We are projecting 245,we are expecting the kids to turn up well and also hoping that the number of failed taps will reduce",Food was delicious.,Queue management was orderly assisted by the teacher on duty,"We had 238 actual meals served compared to yesterday where we had 241,this decrease was led by few kids missing school",We had 16 failed taps compared to yesterday where we had 11 which is an increase.This increase was led by parents not topping up their accounts.,James Marigono Kinyanjui,Week2,Wednesday,7
Kihuririo Primary,15-01-25,Masala Rice and Western,535,523,523,0,0,3,6,2,1,135,161,12.5,0,3,3,66,67,0,530,9:55:00,12:50:00,13:40:00,,"The food was  well prepared,hot and delicious.",The  Tod helped with line  management.,There were  523 successful taps  increase from 521students increasingly  reported to school .,there were 6failed The number remained constant parents didn't pay on time.,,Week2,Wednesday,12
Kindiga Primary,15-01-25,Masala Rice and Western,170,166,154,12,0,2,0,0,1,43,52,10,0,2,2,59.3,69.9,0,170,12:02:00,12:40:00,13:15:00,,The food was delicious .,Queue management was well executed by the TOD,The number of actual meals served was 166 a higher number compared to yesterday's 164 actual meals served Most accounts had been topped up.,The number of failed taps  was 0 a decrease from 1 in yesterday report.,,Week2,Wednesday,4
Komothai Primary,15-01-25,Masala Rice and Western,210,200,200,0,0,2,0,0,0,53,64,8,60,3,3,60,65,0,205,9:06:00,12:32:00,1:25:00,l expect more students to continue reporting and new ECD kids to continue registering.,The food was delicious and hot .,line management was smooth,Actual meals served today is 200 which is an increase from yesterday's 197 meals .Students reported in a good number .,Failed taps today was 0 a decrease from  yesterday's 3 failed taps. Parents remembered to top up their accounts on time.,Jane Wanjiru,Week2,Wednesday,10
Lioki Primary,15-01-25,Masala Rice and Western,165,188,168,20,0,2,23,1,0,42,50,0,0,0,0,65.3,67.4,0,185,11:40:00,12:30:00,13:30:00,tomorrow projection is 185 as we expect parents continue to top up their accounts and school turn out is back to normal.,food was delicious,the queues were well organized.,The number of actual meals served today Is 188 from 159 . Parents topped up and majority of kids have reported back and they like bananas,failed taps number is  23 same as yesterday. parents failed to top up their accounts.,Harriet mburu,Week2,Wednesday,-23
Mathanja Primary,15-01-25,Masala Rice and Western,155,159,159,0,0,2,3,0,1,39,47,10,0,0,0,62,73,0,160,11:53:00,12:45:00,13:20:00,students are still reporting back and we expect students with failed taps to top up their accounts on time tomorrow.,food was delicious,queue was transitioning well from class to class.,we had 159 successful taps an increase by 6 compared to yesterday since students are still reporting back to school.,"we had 3 failed taps a decrease by 2 compared to yesterday,,,some parents remembered to top up their accounts on time.",Caroline kirii,Week2,Wednesday,-4
Matuguta Primary,15-01-25,Masala Rice and Western,510,509,467,42,0,3,8,1,2,128,154,10,60,0,0,60,63.7,0,510,9:56:00,12:40:00,13:30:00,,food was delicious,Line management was good. Helped by the teacher on duty.,The number of Actual meal served was 509 an increase from 508.This was because most of the students are now back to school and parents are topping up.,The number of failed taps was 8 an increase from 5.This was because some parents hadn't topped up their accounts. Reminded the kids to remind their parents to top up.,Haron Muiruri,Week2,Wednesday,1
Miguta Primary,15-01-25,Masala Rice and Western,310,293,270,23,0,2,4,2,2,78,94,0,0,4.25,5,64,67,0,300,10:31:00,12:45:00,13:30:00,We are hoping more parents will have topped up.,The food was delicious.,The queue was well managed with the help of TOD.,"*There were 293 successful taps, a drop from yesterday's 299 taps, some parents did not top up and a few students had carried food from home.","We had 4 failed taps, an increase from yesterday's 2 failed taps, parents had not topped up their accounts.",Anastacia Njoroge,Week2,Wednesday,17
Miiri Primary,15-01-25,Masala Rice and Western,410,410,382,28,0,3,28,1,0,103,124,13,0,0,0,65,72,0,410,9:25:00,12:20:00,13:30:00,,The food was delicious .,Queues were managed by the TOD.,"Actual meals  rose to 410 from 396, parents had paid on time.","Failed tabs decreased to 28 from 29, parents had not paid on time.",,Week2,Wednesday,0
Mitahato Primary,15-01-25,Masala Rice and Western,320,314,314,0,0,2,7,2,0,81,94,0,0,2,2,60,65,0,320,11:42:00,12:40:00,13:30:00,I expect higher turnup tomorrow because I have emphasized on kids reminding their parents on topping up their accounts.,The food was delicious.,The TOD helped with line management.,There were 314 Successful taps a drop from 319. There was a lower turn up today.,There was 7 failed taps an increase from previous 6. Parents did not top up their accounts.,Joseph Kariuki,Week2,Wednesday,6
Mukubu Primary,15-01-25,Masala Rice and Western,250,250,250,0,0,2,3,0,0,63,76,10,0,0,0,67.9,66.4,0,255,11:20:00,12:15:00,13:30:00,,The food was  hot and delicious.,I controlled the queue,There were 250Successful taps an increase from previous taps 244,There was 3failed tap adecrease from  previous taps 14. parents did the top up,Ruth kimani,Week2,Wednesday,0
Ndireti Primary,15-01-25,Masala Rice and Western,235,255,255,0,0,3,5,3,0,60,71,10,0,0,0,68,70,0,255,12:10:00,12:50:00,13:40:00,,*The food was delicious,*I managed the queue  well.,We had 255 actual taps an increase compared to the 232 we fed yesterday.,,Sharon Wanjiku,Week2,Wednesday,-20
Ngemwa Primary,15-01-25,Masala Rice and Western,260,263,240,23,0,2,10,0,4,66,79,0,0,0,0,65,69,0,265,8:46:00,12:30:00,13:23:00,"I am projecting this number because we expect parents whose kids had failed taps,to top up tomorrow.",The food was delicious.,The line management was successful.,Numbers of actual meals served increased from 257 to 263 because of the availability of bananas on the menu,Failed taps are still at 10. Parents did not pay even after reminding them to do so.,Lucy Njoki,Week2,Wednesday,-3
Ngewa Primary,15-01-25,Masala Rice and Western,360,345,345,0,0,2,9,3,1,91,109,10,0,3,4,74,78,0,350,11:04:00,12:30:00,1:30:00,we are expecting more students to attend school .,The food was delicious.,The queue was well organized with the help of the teachers on duty.,Actual meals served today is 345 which is a decrease compared to  yesterday which was 353. We are expecting an increase in numbers since more students are joining and reporting to the school.,There were 9 failed taps today which is a increase from 6 failed taps yesterday. I reminded respective parents to top up their accounts.,Eric Muriithi,Week2,Wednesday,15
Njunu Primary,15-01-25,Masala Rice and Western,280,275,275,0,0,2,5,0,0,71,85,10,0,0,0,62,78,0,280,11:30:00,12:20:00,13:20:00,,Food was sweet and spicy,queueing was well managed with the help of a teacher,successful taps were 275 an increase of 2 taps from yesterday's 273 successful taps,5 failed taps a increase of 2 taps from yesterday's 3 failed taps,Samuel Kago,Week2,Wednesday,5
Nyaga Primary,15-01-25,Masala Rice and Western,545,557,557,0,0,3,11,4,4,137,164,13,0,0,0,50,70,0,570,11:00:00,12:20:00,13:50:00,"We are projecting 570, grade 7 are slowly being admitted and also hoping the number of failed taps to reduce",Food was okay,Queue management was orderly assisted by the teacher on duty,We had 557 actual meals served compared to 536 of yesterday. Grade 7 students are being admitted plus other students turned up,We had 11 failed taps compared to 12 of yesterday. Parents topped up.,Erick Murage,Week2,Wednesday,-12
Riamute Primary,15-01-25,Masala Rice and Western,360,356,332,24,0,3,12,1,0,91,109,13,0,3,2,65,60,0,360,9:45:00,12:30:00,13:30:00,,*The food was delicious and hot.,Queues were orderly and organised with the help of TOD,*The number of actual taps was 356 a higher number than previous day which was 348.,We had 12 failed taps today a lower number than previous day which was 20 as the parent didn't top up their account,,Week2,Wednesday,4
Thuita Primary,15-01-25,Masala Rice and Western,275,257,257,0,0,2,5,0,0,69,83,0,0,4.5,5,68,69,0,260,10:44:00,12:40:00,13:25:00,Projecting this number because new pupils are still joining the school and hope those with failed taps will top up.,The food was hot and delicious.,I properly managed the queue without assistance,The number of successful taps decreased from 267 to 257 because turn up today was abit down,The number of failed taps increase from 1 to 5  . 5 parents forgot to top up.,Alvin,Week2,Wednesday,18
Ak Magugu Primary,16-01-25,Turmeric Rice and Beans,465,446,410,36,0,3,21,0,1,117,140,10,0,4.75,5,68.4,80.3,0,440,9:28:00,12:20:00,1:20:00,,The food was delicious.,"The queues were orderly, especially with the help of the teacher on duty.",The number of actual meals served  reduced from 460 to 446. Some kids were absent.,The number of failed taps  increased from 18 to 21.Respective parents had not topped up their account .,Margaret  Maigua.,Week2,Thursday,19
Gataka Primary,16-01-25,Turmeric Rice and Beans,300,302,279,23,0,2,2,0,3,76,91,10,0,0,0,65,72,0,230,10:35:00,12:30:00,1:32:00,,The food was delicious.,The kids were orderly without the assistance of a teacher.,The number of actual meals  served rose from 298 to 302. We attribute this rise to more parents paying for their kids on time.,There number of failed taps dropped from 7 to 2. We reminded kids to request  their parents to top up their accounts on time.,Esther  Wanjiru  Kimani,Week2,Thursday,-2
Gathaithi Primary,16-01-25,Turmeric Rice and Beans,590,563,509,54,0,3,21,0,2,148,178,0,0,6.75,8,62.5,70.5,0,580,8:52:00,12:35:00,13:35:00,,The food was delicious.,The teacher on duty assisted with queue management,The total number of actual meals served was 563 a decrease from 582. A number of kids missed school.,The number of failed taps was 21 a decrease from 25 as some parents topped up accounts.,Jane Wanjiru,Week2,Thursday,27
Gathangari Primary,16-01-25,Turmeric Rice and Beans,445,441,441,0,0,3,12,2,0,112,134,10,0,1,1,66,71,0,445,11:06:00,12:00:00,13:27:00,,The food was tasty,queue management was good with the help of the teacher on duty.,successful taps increased from 438 to 441. Most of the  grade 7 pupils are back and we are still registering new pupils.,failed taps increased from 3 to 12. Some parents did not remember to top up their accounts.,,Week2,Thursday,4
Gathanjii Primary,16-01-25,Turmeric Rice and Beans,355,343,316,27,0,2,25,0,1,89,107,0,0,3,3,62.5,77.1,0,360,9:50:00,12:11:00,13:25:00,,The Meal was delicious.,line management  was well maintained by the Teacher on duty .,The actual meals served today was 343 compared to 347 on yesterday . Parents had not topped up accounts in time and some F4E sponsored kids were absent.,Failed taps today were 25 an increase from 22 yesterday. Parents had  topped up accounts .,Nelson Kageche .,Week2,Thursday,12
Gathiruini Primary,16-01-25,Turmeric Rice and Beans,285,280,280,0,0,2,5,0,0,72,86,0,0,1,2,62,66,0,285,9:30:00,12:30:00,1:30:00,,The food was delicious.,The queue was well organized with the help of the teachers on duty.,Actual meals served today was 280 a higher number compared to yesterday's 277 actual meals served most accounts had been topped up,failed taps today were 5 a decrease from 9 this is because parents topped up their accounts on time,Catherine wairimu,Week2,Thursday,5
Gathugu Primary,16-01-25,Turmeric Rice and Beans,300,292,292,0,0,2,4,0,0,76,91,8,0,2,2,60,58,0,295,10:00:00,12:30:00,13:30:00,,Food was hot.,Line was okay,"Successful taps decreased from yesterdayâs 295,today 292 few pupils were absent",Failed taps decreased from yesterdayâs 5 today 4 parents paid,,Week2,Thursday,8
Gatina Primary,16-01-25,Turmeric Rice and Beans,430,414,383,31,0,3,21,0,2,108,130,10,0,2,1,70,70,0,420,10:52:00,12:30:00,13:30:00,We project 420 tomorrow for normal turn up and some new students continues to report.,"The meal was delicious,kids really enjoyed.",line management  was well conducted by teacher on duty.,The actual meals served today was 414 lower than 423 of yesterday. This is due to high number of insuficient account balance  .,Failed taps have increased  from 13 to 21,DENNÄ°S KANG'ETHE,Week2,Thursday,16
Gatitu Primary,16-01-25,Turmeric Rice and Beans,395,393,360,33,0,3,9,3,1,100,119,10,0,0,0,65,73,0,395,9:14:00,12:30:00,13:30:00,I am projecting this number because they have stablized.,The food was delicious.,The line management was successful.,Numbers of actual meals served  was 393 just like yesterday. The number is stabilizing,Failed taps increased from 7 to 9. Parents forgot  to top up their accounts on time.,David,Week2,Thursday,2
Giathieko Primary,16-01-25,Turmeric Rice and Beans,195,187,187,0,0,2,4,1,0,49,59,10,0,2,2,72,78,0,190,12:15:00,12:40:00,13:10:00,,The food was delicious,Queues were transitioning well from class to class.,The number of successful taps reduced from 193 to 187 as some parents failed to top up on time.,,George,Week2,Thursday,8
Githiga Primary,16-01-25,Turmeric Rice and Beans,435,441,405,36,0,3,8,1,7,110,131,10,0,0,0,65,68,0,440,10:10:00,12:25:00,13:30:00,I am projecting this number because we expect we a higher turn up tomorrow.,The food was delicious.,The line management was successful.,Numbers of actual meals served increased from 424 to 441. Parents who had failed taps yesterday topped up the accounts.,Failed taps decreased from 13 to 8. Parents remembered to top up their accounts on time.,Susan,Week2,Thursday,-6
Githima Primary,16-01-25,Turmeric Rice and Beans,265,259,259,0,0,2,0,0,0,67,80,0,0,2,2,70,68,0,265,10:10:00,12:35:00,13:45:00,"I am projecting 265 students because I am registering more kids each day,and this being the second week of the term,I am hoping more kids will be reporting tomorrow.",The food was tasty and the kids enjoyed.,I was able to manage the queue with no difficulty since the kids were super organized today.,Actual meals served are 259 which was the same as yesterday's successful taps.Kids reported to school as expected.,We had 0  failed taps which is a decrease from yesterday's 1 failed taps.Parents topped up on time and as expected.,Brenda wambui kamawe,Week2,Thursday,6
Githioro Primary,16-01-25,Turmeric Rice and Beans,310,311,311,0,0,2,5,3,1,78,94,0,0,0,0,64,68,0,315,9:56:00,12:32:00,13:35:00,I am expecting students with failed taps to remind their parents to do top up their accounts.,The food was delicious and hot .,line management was transitioning well from class to class with the help of TOD,Actual meals served today is 311 which is an increase  from yesterday's 305 meals . Parents who had failed tap yesterday remembered to top up.,Failed taps today was 5 a decrease from  yesterday's 6 failed taps.,,Week2,Thursday,-1
Githunguri Primary,16-01-25,Turmeric Rice and Beans,475,464,422,42,0,3,21,3,2,120,143,0,0,2,3,67,72,0,460,23:10:00,12:40:00,13:30:00,"I expect a higher number tomorrow to slightly  fall to 460. Being the second Friday , we expect a slightly decrease in turnout affecting our number of meals.","The meal was delicious,kids really enjoyed.",line management  was well managed  by the teacher on duty.,The actual meals served today was 464 a   slightly lower  than yesterday  468.some kids don't have like Beans hence that might explain the drop.,"Failed taps today were 21 , higher than yesterday 15.  Parents have not topped up their accounts.",Samy Migwi,Week2,Thursday,11
